X,Y,OBJECTID,SysSchool,GradeRange,SchoolAddress,SchoolCity,STATE,SchoolZipCode,MailAddress,MailCity,MailZipCode,PrincipalName,PrincipalEmail,SchoolPhone,SchoolFax,longitude,latitude,Year,SchoolYear,SystemID,SystemName,SchoolID,SchoolName,Type,ENROLLMENT_COUNT,Churn,TeacherCount,AvgExp,pYrsLt1,pYears1_10,pYears11_20,pYears21_30,pYearsGt30
-82.35464652,31.75789707,1,6010103,12-Sep,482 Blackshear Hwy,Baxley,GA,31513-6708,482 Blackshear Hwy,Baxley,31513-6708,"Starr, Gene A.",gstarr@appling.k12.ga.us,912.367.8610,912.366.9877,-82.354643,31.757891,2019,2018-19,601,Appling County,103,Appling County High School,High School,970,11,59,17,0,29,32,31,9
-82.35420952,31.75455607,2,6010177,5-Mar,680 Blackshear Hwy,Baxley,GA,31513-6709,680 Blackshear Hwy,Baxley,31513-6709,"Crosby, Debra",debra.crosby@appling.k12.ga.us,912.367.8640,912.367.8649,-82.354206,31.75455,2019,2018-19,601,Appling County,177,Appling County Elementary School,Elementary School,551,13,45,16,2,24,47,20,7
-82.33976351,31.72312706,3,6010195,8-Jun,2997 Blackshear Hwy,Baxley,GA,31513-4303,2997 Blackshear Hwy,Baxley,31513-4303,"Campbell, Cathy",Cathy.Campbell@appling.k12.ga.us,912.367.8630,912.367.8803,-82.33976,31.723121,2019,2018-19,601,Appling County,195,Appling County Middle School,Middle School,795,11,57,14,7,33,33,23,4
-82.35417052,31.75472107,4,6010277,PK-02,678 Blackshear Hwy,Baxley,GA,31513-6709,678 Blackshear Hwy,Baxley,31513-6709,"Stewart, Cindy",Shelly.Roppe@appling.k12.ga.us,912.367.8642,912.367.8141,-82.354167,31.754715,2019,2018-19,601,Appling County,277,Appling County Primary School,Elementary School,516,17,50,16,6,26,34,32,2
-82.36179452,31.87613609,5,6011050,PK-05,344 Altamaha School Rd,Baxley,GA,31513-2670,344 Altamaha School Rd,Baxley,31513-2670,"Hollis, Rhonda",rhonda.hollis@appling.k12.ga.us,912.367.3713,912.367.2609,-82.361791,31.87613,2019,2018-19,601,Appling County,1050,Altamaha Elementary School,Elementary School,378,11,29,16,0,21,48,24,7
-82.24777548,31.61095804,6,6015050,PK-05,13396 Blackshear Hwy,Surrency,GA,31563-3114,13396 Blackshear Hwy,Surrency,31563-3114,"Kirkland, Scott", ,912.367.3250,912.367.0992,-82.247772,31.610952,2019,2018-19,601,Appling County,5050,Fourth District Elementary School,Elementary School,152,31,15,20,0,20,33,40,7
-82.84988264,31.32091095,7,6020103,12-Sep,145 Rebel Ln,Pearson,GA,31642-5535,145 Rebel Ln,Pearson,31642-5535,"Wilbanks, Melissa",mwilbanks@atkinson.k12.ga.us,912.422.3267,912.422.7889,-82.849879,31.320905,2019,2018-19,602,Atkinson County,103,Atkinson County High School,High School,478,9,32,14,6,34,28,28,3
-82.84988264,31.32091095,8,6020111,8-Jun,145 Rebel Ln,Pearson,GA,31642-5535,145 Rebel Ln,Pearson,31642-5535,"Holmes, Calandra",cholmes@atkinson.k12.ga.us,912.422.3267, ,-82.849879,31.320905,2019,2018-19,602,Atkinson County,111,Atkinson County Middle School,Middle School,374,15,29,12,3,48,31,14,3
-83.0530207,31.33809895,9,6020187,PK-05,430 Vickers St S,Willacoochee,GA,31650-2313,430 South Vickers Street,Willachochee,31650,"Davis, Anthony",adavis@atkinson.k12.ga.us,912.534.5302,912.534.5337,-83.053017,31.338093,2019,2018-19,602,Atkinson County,187,Willacoochee Elementary School,Elementary School,162,20,16,18,0,25,25,50,0
-82.85538264,31.30580395,10,6020190,PK-05,563 King St N,Pearson,GA,31642-7444,563 King St N,Pearson,31642-7444,"Morris, Jarred", ,912.422.3882,912.422.7024,-82.855379,31.305798,2019,2018-19,602,Atkinson County,190,Pearson Elementary School,Elementary School,569,15,45,16,4,27,33,29,7
-82.47930454,31.55911202,11,6030102,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,"Chancey, Marcy", ,912.632.4765,912.632.6611,-82.479301,31.559106,2019,2018-19,603,Bacon County,102,Bacon County Primary School,Elementary School,468,20,40,18,0,25,28,45,3
-82.45849454,31.52195401,12,6030202,8-Jun,1188 US Highway 1 S,Alma,GA,31510-3737,1188 US Highway 1 S,Alma,31510-3737,"Powell, Charlie", ,912.632.4662,912.632.6603,-82.458491,31.521948,2019,2018-19,603,Bacon County,202,Bacon County Middle School,Middle School,494,14,36,15,0,25,42,33,0
-82.45936654,31.52209401,13,6030302,12-Sep,1190 US Highway 1 S,Alma,GA,31510-3737,1190 US Highway 1 S,Alma,31510-3737,"Martin, Traci", ,912.632.4414,912.632.6603,-82.459363,31.522088,2019,2018-19,603,Bacon County,302,Bacon County High School,High School,591,10,42,16,7,24,41,17,12
-82.45516954,31.53654701,14,6033050,5-Mar,523 E 16th St,Alma,GA,31510-3013,523 E 16th St,Alma,31510-3013,"Ellis, Darrell", ,912.632.4133,912.632.5414,-82.455166,31.536541,2019,2018-19,603,Bacon County,3050,Bacon County Elementary School,Elementary School,495,16,36,18,0,31,22,42,6
