SchoolID,longitude,latitude,SchoolAddress,SchoolCity,STATE,SchoolZipCode
103,-82.354643,31.757891,482 Blackshear Hwy,Baxley,GA,31513-6708
177,-82.354206,31.75455,680 Blackshear Hwy,Baxley,GA,31513-6709
195,-82.33976,31.723121,2997 Blackshear Hwy,Baxley,GA,31513-4303
277,-82.354167,31.754715,678 Blackshear Hwy,Baxley,GA,31513-6709
1050,-82.361791,31.87613,344 Altamaha School Rd,Baxley,GA,31513-2670
5050,-82.247772,31.610952,13396 Blackshear Hwy,Surrency,GA,31563-3114
103,-82.849879,31.320905,145 Rebel Ln,Pearson,GA,31642-5535
111,-82.849879,31.320905,145 Rebel Ln,Pearson,GA,31642-5535
187,-83.053017,31.338093,430 Vickers St S,Willacoochee,GA,31650-2313
190,-82.855379,31.305798,563 King St N,Pearson,GA,31642-7444
102,-82.479301,31.559106,251 Cumberland Rd,Alma,GA,31510-1680
202,-82.458491,31.521948,1188 US Highway 1 S,Alma,GA,31510-3737
302,-82.459363,31.522088,1190 US Highway 1 S,Alma,GA,31510-3737
3050,-82.455166,31.536541,523 E 16th St,Alma,GA,31510-3013
105,-84.344278,31.311737,260 Ga Highway 37 SW,Newton,GA,39870-8212
100,-83.266742,33.083435,356 Blandy Rd NW,Milledgeville,GA,31061-8927
189,-83.258449,33.072068,155 Ga Highway 49 W,Milledgeville,GA,31061-3600
300,-83.264061,33.090377,220 N Abc Dr,Milledgeville,GA,31061-1500
301,-83.271482,33.079758,375 Blandy Rd NW,Milledgeville,GA,31061-8926
302,-83.268652,33.080359,372 Blandy Rd NW,Milledgeville,GA,31061-8927
303,-83.226685,33.018682,101 Carl Vinson Rd SE,Milledgeville,GA,31061-9781
105,-83.478538,34.312807,712 Thompson St,Homer,GA,30547-3116
107,-83.507992,34.330361,180 Highway 51 S,Homer,GA,30547-2529
199,-83.498547,34.308641,1486A Historic Homer Hwy,Homer,GA,30547-3112
205,-83.510075,34.330331,266 Highway 51 S,Homer,GA,30547-2514
101,-83.785507,33.948362,940 Haymon Morris Rd,Winder,GA,30680-7889
105,-83.738648,34.026253,334 Rockwell Church Rd NW,Winder,GA,30680-2923
106,-83.789287,33.947639,1008 Haymon Morris Rd,Winder,GA,30680-7840
114,-83.588178,33.969139,228 Jefferson St,Statham,GA,30666-1707
189,-83.75867,33.976517,200 Matthews School Rd,Winder,GA,30680-3984
193,-83.809186,34.038077,622 Freeman Brock Rd,Auburn,GA,30011-2610
198,-83.761518,33.97814,240 Matthews School Rd,Winder,GA,30680-3984
205,-83.719168,33.922435,47 McElhannon Rd SW,Bethlehem,GA,30620-2717
289,-83.723343,33.996995,364 W Candler St,Winder,GA,30680-1737
298,-83.789911,33.949685,1000 Haymon Morris Rd,Winder,GA,30680-7840
299,-83.736554,34.003146,194 McNeal Rd,Winder,GA,30680-1723
1050,-83.824346,34.009639,1334 6th Ave,Auburn,GA,30011-3281
3052,-83.728003,34.005139,272 N 5th Ave,Winder,GA,30680-4501
4050,-83.687073,34.014666,445 Holsenbeck School Rd,Winder,GA,30680-3749
5050,-83.591576,33.964752,1970 Broad St,Statham,GA,30666-1700
101,-84.928606,34.146052,1061 Euharlee Rd,Euharlee,GA,30145-2807
104,-84.866851,34.288117,50 Pleasant Valley Rd NW,Cartersville,GA,30121-4337
105,-84.917721,34.339178,519 Old Highway 41 NW,Adairsville,GA,30103-5346
106,-84.748768,34.341203,1095 Cass Pine Log Rd,Rydal,GA,30171-1407
107,-84.928068,34.150215,1058 Euharlee Rd,Euharlee,GA,30145-2806
114,-84.762331,34.281763,1000 Colonel Way NE,White,GA,30184-2619
115,-84.743946,34.204168,291 Highway 20 Spur,Cartersville,GA,30121
175,-84.762911,34.278347,505 Colonel Way,White,GA,30184-2614
177,-84.938009,34.369296,118 N Franklin St,Adairsville,GA,30103
186,-84.879794,34.161904,1100 Mission Rd SW,Cartersville,GA,30120-5779
190,-84.764978,34.120894,224 Old Alabama Rd SE,Emerson,GA,30137-2910
195,-84.869246,34.239879,195 Fire Tower Rd NW,Cartersville,GA,30120-4648
196,-84.669649,34.117732,4150 New Hope Church Rd SE,Acworth,GA,30102-2726
198,-84.832737,34.119334,800 Old Alabama Rd SE,Cartersville,GA,30120-6883
296,-84.935614,34.213701,240 Hardin Bridge Rd,Kingston,GA,30145-2668
301,-84.915406,34.334243,485 Old Highway 41 NW,Adairsville,GA,30103-5387
377,-84.866033,34.239263,116 Hamilton Crossing Rd NW,Cartersville,GA,30120-4884
396,-84.940902,34.109678,1502 Old Alabama Rd,Taylorsville,GA,30178-1505
2052,-84.761816,34.122371,220 Old Alabama Rd SE,Emerson,GA,30137-2910
111,-83.259461,31.742397,328 Lobinger Ave,Fitzgerald,GA,31750-8124
196,-83.255743,31.76558,221 Jc Hunter Rd,Fitzgerald,GA,31750-6924
291,-83.261051,31.709005,601 W Cypress St,Fitzgerald,GA,31750-3265
296,-83.259406,31.760567,134 Jc Hunter Rd,Fitzgerald,GA,31750-6901
392,-83.259818,31.741116,120 Turk Ct,Fitzgerald,GA,31750-0000
101,-83.24464,31.218505,500 E Smith Ave,Nashville,GA,31639-1258
106,-83.267055,31.194038,1015 Exum Rd,Nashville,GA,31639-2730
194,-83.261612,31.211824,800 Tifton Hwy,Nashville,GA,31639-8704
195,-83.263898,31.21225,802 Middle School Cir,Nashville,GA,31639-5656
5050,-83.244731,31.234602,1427 N Davis St,Nashville,GA,31639-3926
103,-83.757567,32.751035,5700 Fulton Mill Rd,Lizella,GA,31052-5112
104,-83.613225,32.853164,972 Fort Hill St,Macon,GA,31217-6404
105,-83.772694,32.90337,6400 Forsyth Rd,Macon,GA,31210-1424
108,-83.657926,32.81899,1070 Anthony Rd,Macon,GA,31204-6210
109,-83.651598,32.798831,3660 Houston Ave,Macon,GA,31206-2414
186,-83.656587,32.836758,2155 Napier Ave,Macon,GA,31204-3655
198,-83.747149,32.815773,2851 Heath Rd,Macon,GA,31206-5266
203,-83.655383,32.844828,2260 Vineville Ave,Macon,GA,31204-3116
204,-83.714587,32.737088,6250 Skipper Rd,Macon,GA,31216-6104
205,-83.772506,32.904611,6600 Forsyth Rd,Macon,GA,31210-7231
286,-83.62131,32.866518,1646 Upper River Rd,Macon,GA,31211-1524
298,-83.65839,32.838757,751 Hendley St,Macon,GA,31204-3503
305,-83.715435,32.737791,6260 Skipper Rd,Macon,GA,31216-6104
307,-83.664607,32.850554,304 Pierce Ave,Macon,GA,31204-2422
383,-83.646759,32.845444,325 Pursley St,Macon,GA,31201-1127
386,-83.673815,32.807475,1775 Williamson Rd,Macon,GA,31206-3339
405,-83.677838,32.87659,2976 Crestline Dr,Macon,GA,31204-1237
505,-83.743509,32.824124,2570 Heath Rd,Macon,GA,31206-5259
605,-83.757067,32.843858,6050 Thomaston Rd,Macon,GA,31220-5331
705,-83.722886,32.836353,4831 Mamie Carter Dr,Macon,GA,31210-5650
1005,-83.685201,32.852076,3600 Brookdale Ave,Macon,GA,31204-2728
1050,-83.644956,32.832826,1156 College St,Macon,GA,31201-1701
1054,-83.568391,32.813751,4160 Ocmulgee East Blvd,Macon,GA,31217-5636
1067,-83.693053,32.737326,5802 School Rd,Macon,GA,31216-6244
1105,-83.719733,32.90498,4965 Northside Dr,Macon,GA,31210-1626
1205,-83.757005,32.878454,5910 Zebulon Rd,Macon,GA,31210-2096
1305,-83.69417,32.89135,990 Newport Rd,Macon,GA,31210-3344
1306,-83.600253,32.858692,1307 Shurling Dr,Macon,GA,31211-2137
1307,-83.689606,32.782125,4375 Bloomfield Drive Ext,Macon,GA,31206-3983
1309,-83.714255,32.813683,4901 Faubus Ave,Macon,GA,31204-6303
2060,-83.679167,32.821173,2230 Anthony Rd,Macon,GA,31204-5824
3060,-83.688273,32.721747,6515 Houston Rd,Macon,GA,31216-6716
3067,-83.662227,32.82488,1870 Pio Nono Ave,Macon,GA,31204-6143
5050,-83.603198,32.860375,1210 Shurling Dr,Macon,GA,31211-2035
105,-83.328166,32.400567,1 Royal Dr,Cochran,GA,31014-2857
112,-83.329482,32.40441,590 Ga Highway 26 E,Cochran,GA,31014-2840
115,-83.322051,32.410167,140 Country Club Rd,Cochran,GA,31014-2818
197,-83.322764,32.410604,470 Ga Highway 26 E,Cochran,GA,31014-2837
1050,-83.341996,32.39293,259 E Peter St,Cochran,GA,31014-6644
101,-81.790872,31.227344,5726 Old Waynesville Rd,Waynesville,GA,31566-4420
110,-81.822297,31.190821,4327 Highway 110 E,Waynesville,GA,31566-3829
194,-82.025221,31.193222,10990 Highway 82,Nahunta,GA,31553-3706
294,-81.984905,31.192832,9110 Main St S,Nahunta,GA,31553-6156
1050,-82.029369,31.195616,10804 Highway 82,Nahunta,GA,31553-3704
2050,-82.130742,31.186383,224 Church St N,Hoboken,GA,31542-2924
3050,-81.98253,31.192578,479 School Cir,Nahunta,GA,31553-5407
110,-83.562997,30.809999,1801 Moultrie Hwy,Quitman,GA,31643-6199
193,-83.5629,30.815746,2200 Moultrie Hwy,Quitman,GA,31643-6152
197,-83.565814,30.814523,2171 Moultrie Hwy,Quitman,GA,31643-6151
393,-83.515178,30.933587,10295 Coffee Rd,Morven,GA,31638-3331
394,-83.576126,30.799642,1081 Barwick Rd,Quitman,GA,31643-6184
395,-83.576176,30.799585,1081 Barwick Rd,Quitman,GA,31643-6184
101,-81.312158,31.937089,476 Frances Meeks Way,Richmond Hill,GA,31324-3934
182,-81.315997,31.925834,1 Wildcat Dr,Richmond Hill,GA,31324-8809
199,-81.31233,31.848317,503 Warren Hill Drive,Richmond Hill,GA,31324-3523
202,-81.311375,31.939229,471 Frances Meeks Way,Richmond Hill,GA,31324-3935
282,-81.527382,32.143277,6024 US Highway 280 E,Pembroke,GA,31321-6754
286,-81.606575,32.145301,250 Payne Dr,Pembroke,GA,31321-5753
302,-81.313368,31.936901,473 Frances Meeks Way,Richmond Hill,GA,31324-3935
402,-81.607936,32.149368,600 Payne Dr,Pembroke,GA,31321-5593
502,-81.609473,32.149505,1234 Camellia Dr,Pembroke,GA,31321-5519
503,-81.252345,31.878942,224 Veterans Memorial Pkwy,Richmond Hill,GA,31324-6086
100,-81.746445,32.453726,239 Beasley Rd,Statesboro,GA,30461-6962
107,-81.759442,32.268183,8438 Nevils Groveland Rd,Statesboro,GA,30458-4003
198,-81.813802,32.489967,18809 US Highway 80 W,Statesboro,GA,30458-4311
199,-81.809505,32.397103,150 Langston Chapel Rd,Statesboro,GA,30458-3412
200,-81.670438,32.386478,600 W Lane St,Brooklet,GA,30415-6283
203,-81.678629,32.363701,9184 Brooklet Denmark Rd,Brooklet,GA,30415-6477
299,-81.80801,32.396658,156 Langston Chapel Rd,Statesboro,GA,30458-3412
300,-81.680888,32.361804,9124 Brooklet Denmark Rd,Brooklet,GA,30415-6477
399,-81.935051,32.532508,328 Grady St S,Portal,GA,30450-5009
2050,-81.797975,32.453797,421 W Main St,Statesboro,GA,30458-1328
2054,-81.762963,32.443276,10 Lester Rd,Statesboro,GA,30458-4786
3054,-81.546967,32.323694,15569 Ga Highway 119,Brooklet,GA,30415-5604
4052,-81.935698,32.537949,27245 US Highway 80 W,Portal,GA,30450-9703
5050,-81.786787,32.469393,204 Debbie Dr,Statesboro,GA,30458-0029
5054,-81.752933,32.4196,1200 Cawana Rd,Statesboro,GA,30461-6837
104,-81.991719,33.079535,100 Olympic Dr,Waynesboro,GA,30830-4509
188,-81.994725,33.08343,356 Southside Dr,Waynesboro,GA,30830-4561
196,-81.774536,32.983624,1265 Charles Perry Ave,Sardis,GA,30456-2854
288,-81.990887,33.085158,1057 Burke Veterans Pkwy,Waynesboro,GA,30830-4598
2056,-81.994118,33.081167,352 Southside Dr,Waynesboro,GA,30830-4561
100,-83.981985,33.285545,494 George Tate Dr,Jackson,GA,30233-1861
104,-84.018737,33.294863,150 Shiloh Rd,Jackson,GA,30233-4900
108,-83.95297,33.307998,209 Stark Rd,Jackson,GA,30233-4629
111,-83.963272,33.27352,1105 Brownlee Rd,Jackson,GA,30233-2485
190,-83.983059,33.289236,717 S Harkness St,Jackson,GA,30233-1869
113,-84.727821,31.562017,700 Manry St,Edison,GA,39846-5633
179,-84.7089,31.450549,18904 Morgan Rd,Arlington,GA,39813-6710
213,-84.727798,31.562017,18772 Hartford St,Edison,GA,39846-5609
100,-81.677239,30.848661,277 Roberts Path,Woodbine,GA,31569-2747
105,-81.572953,30.753764,205 Martha Dr,Saint Marys,GA,31558-8953
110,-81.546138,30.728135,600 Osborne St,Saint Marys,GA,31558-8256
182,-81.643624,30.794809,1300 Middle School Rd,Kingsland,GA,31548-6208
187,-81.574467,30.802776,3570 Charlie Smith Sr Hwy,Saint Marys,GA,31558-3500
189,-81.653958,30.797274,1100 Lake Boulevard,Kingsland,GA,31548-5710
192,-81.706455,30.963728,495 Broadwood Dr,Woodbine,GA,31569-3549
193,-81.71444,30.800837,900 W King Ave,Kingsland,GA,31548-3336
195,-81.664777,30.777252,850 May Creek Dr,Kingsland,GA,31548-5563
197,-81.594009,30.802001,2885 Winding Rd,Saint Marys,GA,31558-4843
295,-81.646822,30.819027,6300 Laurel Island Pkwy,Kingsland,GA,31548-6080
495,-81.591225,30.769867,2900 Mickler Dr,Saint Marys,GA,31558-3916
101,-82.050517,32.364354,34905 Ga Highway 129 S,Metter,GA,30439-6364
102,-82.050329,32.362317,33661 Ga Highway 129 S,Metter,GA,30439-6459
302,-82.050329,32.362311,33661 Ga Highway 129 S,Metter,GA,30439-6459
303,-82.050198,32.364496,34905 Ga Highway 129 S,Metter,GA,30439-6364
100,-85.04855,33.647769,115 Old Muse Rd,Carrollton,GA,30116-9311
101,-85.229064,33.56378,129 N Jonesville Rd,Bowdon,GA,30108-2492
102,-85.027,33.747085,275 Rainey Rd,Temple,GA,30179-3929
112,-85.237577,33.557439,101 Kidspeace Dr,Bowdon,GA,30108-3447
115,-85.024427,33.747662,287 Rainey Rd,Temple,GA,30179-3929
176,-85.156457,33.602285,260 Eureka Church Rd,Carrollton,GA,30117-6681
177,-85.066509,33.538896,155 Whooping Creek Rd,Carrollton,GA,30116-4800
189,-85.025568,33.732324,589 Sage St,Temple,GA,30179-3724
198,-84.938499,33.692038,122 Bay Springs Rd,Villa Rica,GA,30180-3733
208,-85.184199,33.637533,132 Mount Zion St,Carrollton,GA,30117-4965
212,-85.148858,33.60283,280 Eureka Church Rd,Carrollton,GA,30117-6681
305,-84.969486,33.780782,614 Tumlin Lake Rd,Temple,GA,30179-3200
377,-85.12928,33.461707,60 Old Carrollton Rd,Roopville,GA,30170-2125
405,-84.943051,33.678188,75 Whitworth Rd,Villa Rica,GA,30180-3732
477,-84.917001,33.497555,868 Main St,Whitesburg,GA,30185-3111
605,-84.913206,33.727661,118 Glanton St,Villa Rica,GA,30180-2706
705,-84.92646,33.734429,314 Peachtree St,Villa Rica,GA,30180-1705
1054,-85.038584,33.740551,95 Otis St,Temple,GA,30179-3722
2050,-85.250421,33.526893,223 Kent Ave,Bowdon,GA,30108-1607
2052,-85.068276,33.552108,113 Central High Rd,Carrollton,GA,30116-4452
3050,-85.261445,33.538352,504 W College St,Bowdon,GA,30108-1314
5050,-85.069746,33.540274,175 Primary School Rd,Carrollton,GA,30116
5052,-84.970944,33.639383,45 Sandhill School Rd,Carrollton,GA,30116-9736
